,country_code,country_name,school_attendance,year
41,AFG,Afghanistan,34.13605880737305,2015
43,DZA,Algeria,78.14541625976562,2020
45,AGO,Angola,52.865299224853516,2016
48,ARG,Argentina,84.0459213256836,2020
49,ARM,Armenia,61.5,2016
52,AZE,Azerbaijan,67.69999694824219,2011
55,BGD,Bangladesh,77.4000015258789,2019
56,BRB,Barbados,67.53668212890625,2012
57,BLR,Belarus,93.9770278930664,2020
59,BLZ,Belize,26.157939910888672,2011
60,BEN,Benin,48.099998474121094,2018
61,BTN,Bhutan,50.784080505371094,2010
62,BOL,Bolivia (Plurinational State of),68.70095825195312,2016
63,BIH,Bosnia and Herzegovina,96.06316375732422,2012
64,BWA,Botswana,90,2010
65,BRA,Brazil,95.00536346435547,2019
69,BFA,Burkina Faso,51.900001525878906,2010
70,BDI,Burundi,38.386600494384766,2017
72,KHM,Cambodia,75.53221130371094,2014
73,CMR,Cameroon,65.03032684326172,2018
75,CAF,Central African Republic,42.85712814331055,2019
76,TCD,Chad,20.281719207763672,2019
77,CHL,Chile,96.30000305175781,2017
79,COL,Colombia,98.18102264404297,2015
80,COM,Comoros,66.05399322509766,2012
81,COG,Congo,76.72749328613281,2015
83,CRI,Costa Rica,95.78887939453125,2018
85,CUB,Cuba,95.55426788330078,2019
88,CIV,Côte d'Ivoire,48.020050048828125,2016
89,PRK,Democratic People's Republic of Korea,97.0999984741211,2017
90,COD,Democratic Republic of the Congo,42.96961975097656,2018
94,DOM,Dominican Republic,92.48419952392578,2019
95,ECU,Ecuador,82.69999694824219,2019
96,EGY,Egypt,59.0466194152832,2014
97,SLV,El Salvador,92.88858795166016,2014
99,ERI,Eritrea,81,2010
102,ETH,Ethiopia,51.49055099487305,2016
106,GAB,Gabon,81.09065246582031,2012
107,GMB,Gambia,74.5999984741211,2018
108,GEO,Georgia,89.5999984741211,2018
110,GHA,Ghana,88.08956909179688,2018
113,GTM,Guatemala,91.13176727294922,2015
114,GIN,Guinea,51.942970275878906,2018
115,GNB,Guinea-Bissau,44.987091064453125,2019
116,GUY,Guyana,97.69962310791016,2020
117,HTI,Haiti,85.5447769165039,2017
119,HND,Honduras,91.14663696289062,2019
122,IND,India,88.52024841308594,2016
123,IDN,Indonesia,77.52316284179688,2017
124,IRN,Iran (Islamic Republic of),96.68000030517578,2011
125,IRQ,Iraq,31.984439849853516,2018
129,JAM,Jamaica,98,2011
131,JOR,Jordan,45.076908111572266,2018
132,KAZ,Kazakhstan,96.35018920898438,2015
133,KEN,Kenya,90.32209014892578,2014
134,KIR,Kiribati,96.19983673095703,2019
135,XKX,Kosovo under UNSC res. 1244*,83.8,2020
137,KGZ,Kyrgyzstan,91.30000305175781,2018
138,LAO,Lao People's Democratic Republic,73.86107635498047,2017
141,LSO,Lesotho,84.9000015258789,2018
142,LBR,Liberia,66.9652099609375,2013
147,MDG,Madagascar,59.400001525878906,2018
148,MWI,Malawi,62.83565139770508,2016
150,MDV,Maldives,98,2017
151,MLI,Mali,52.62154006958008,2015
154,MRT,Mauritania,25.478689193725586,2015
156,MEX,Mexico,97.30000305175781,2018
159,MNG,Mongolia,84.30000305175781,2018
160,MNE,Montenegro,66.9677963256836,2018
163,MOZ,Mozambique,71.5,2011
164,MMR,Myanmar,55.75693893432617,2016
165,NAM,Namibia,89.61492919921875,2013
166,NRU,Nauru,97.30000305175781,2011
167,NPL,Nepal,82.88450622558594,2019
171,NER,Niger,32.04758834838867,2012
172,NGA,Nigeria,60.5,2018
173,NIU,Niue,100,2011
174,MKD,North Macedonia,49.94826126098633,2019
177,PAK,Pakistan,60.78493118286133,2018
179,PAN,Panama,80.77961730957031,2013
181,PRY,Paraguay,96.5,2017
182,PER,Peru,95.81143188476562,2012
183,PHL,Philippines,84.44415283203125,2017
188,MDA,Republic of Moldova,93.85771179199219,2012
191,RWA,Rwanda,84.22624206542969,2015
193,LCA,Saint Lucia,53.829708099365234,2012
195,WSM,Samoa,54.662288665771484,2020
197,STP,Sao Tome and Principe,74.06160736083984,2019
199,SEN,Senegal,28.290019989013672,2019
200,SRB,Serbia,96.89399719238281,2019
202,SLE,Sierra Leone,63.900001525878906,2017
208,ZAF,South Africa,97.29093933105469,2016
209,SSD,South Sudan,23.487079620361328,2010
211,LKA,Sri Lanka,41.55498123168945,2016
212,PSE,State of Palestine,93.62106323242188,2020
213,SDN,Sudan,40.82524108886719,2014
214,SUR,Suriname,93.80000305175781,2018
218,TJK,Tajikistan,49.7747802734375,2017
219,THA,Thailand,98.47760772705078,2019
220,TLS,Timor-Leste,63.736671447753906,2016
221,TGO,Togo,71.82643127441406,2017
223,TON,Tonga,96.68197631835938,2019
225,TUN,Tunisia,90.30000305175781,2018
227,TKM,Turkmenistan,49.797889709472656,2019
228,TCA,Turks and Caicos Islands,99.03604125976562,2020
229,TUV,Tuvalu,77.11534118652344,2020
230,UGA,Uganda,72.31742095947266,2016
231,UKR,Ukraine,79.44666290283203,2012
234,TZA,United Republic of Tanzania,69.0025634765625,2016
236,URY,Uruguay,98.87860107421875,2013
240,VNM,Viet Nam,94.8971176147461,2014
241,YEM,Yemen,13.757089614868164,2013
242,ZMB,Zambia,58.71678161621094,2018
243,ZWE,Zimbabwe,81,2019
279,AFG,Afghanistan,63.70000076293945,2015
280,ALB,Albania,90.11921691894531,2018
281,DZA,Algeria,97.08477020263672,2020
283,AGO,Angola,75.80000305175781,2016
286,ARG,Argentina,98.18102264404297,2020
287,ARM,Armenia,95.42788696289062,2016
290,AZE,Azerbaijan,67.69999694824219,2011
293,BGD,Bangladesh,85.9000015258789,2019
294,BRB,Barbados,99.46885681152344,2012
295,BLR,Belarus,93.28795623779297,2020
297,BLZ,Belize,95.80000305175781,2016
298,BEN,Benin,68.30000305175781,2018
299,BTN,Bhutan,95.19999694824219,2012
